datetime,day of week,total,place,product,quantity,product_matched,Name,price,line_revenue,hour,weekday
2019-07-11 15:35:00,Thur,23800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,15,Thursday
2019-07-11 16:10:00,Thur,15800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,16,Thursday
2019-07-13 13:19:00,Sat,14800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,13,Saturday
2019-07-13 13:22:00,Sat,15600.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,13,Saturday
2019-07-13 14:54:00,Sat,15800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,14,Saturday
2019-07-13 15:08:00,Sat,15800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,15,Saturday
2019-07-13 15:23:00,Sat,19100.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,15,Saturday
2019-07-13 16:32:00,Sat,22300.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,16,Saturday
2019-07-14 11:08:00,Sun,15300.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,11,Sunday
2019-07-14 11:15:00,Sun,27600.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,11,Sunday
2019-07-14 11:44:00,Sun,26300.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,11,Sunday
2019-07-14 11:59:00,Sun,19800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,11,Sunday
2019-07-14 12:59:00,Sun,18300.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,12,Sunday
2019-07-14 13:05:00,Sun,15600.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,13,Sunday
2019-07-14 14:06:00,Sun,23600.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,14,Sunday
2019-07-14 14:41:00,Sun,20100.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,14,Sunday
2019-07-14 14:51:00,Sun,25600.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,14,Sunday
2019-07-14 15:02:00,Sun,19800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,15,Sunday
2019-07-15 11:45:00,Mon,15100.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,11,Monday
2019-07-15 16:21:00,Mon,15800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,16,Monday
2019-07-17 11:47:00,Wed,17800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,11,Wednesday
2019-07-17 13:23:00,Wed,14800.0,,angbutter,3.0,angbutter,angbutter,4800,14400.0,13,Wednesday
2019-07-17 14:16:00,Wed,23400.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,14,Wednesday
2019-07-17 16:32:00,Wed,18100.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,16,Wednesday
2019-07-19 11:43:00,Fri,14800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,11,Friday
2019-07-19 12:11:00,Fri,15800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,12,Friday
2019-07-19 12:36:00,Fri,21800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,12,Friday
2019-07-19 12:44:00,Fri,20600.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,12,Friday
2019-07-19 13:35:00,Fri,14800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,13,Friday
2019-07-19 13:50:00,Fri,15100.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,13,Friday
2019-07-19 15:33:00,Fri,35900.0,,angbutter,3.0,angbutter,angbutter,4800,14400.0,15,Friday
2019-07-20 11:19:00,Sat,15800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,11,Saturday
2019-07-20 11:35:00,Sat,18800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,11,Saturday
2019-07-20 11:40:00,Sat,22800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,11,Saturday
2019-07-20 11:44:00,Sat,16400.0,,angbutter,3.0,angbutter,angbutter,4800,14400.0,11,Saturday
2019-07-20 12:08:00,Sat,15800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,12,Saturday
2019-07-20 12:13:00,Sat,26300.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,12,Saturday
2019-07-20 12:31:00,Sat,14800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,12,Saturday
2019-07-20 12:55:00,Sat,15800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,12,Saturday
2019-07-20 13:44:00,Sat,18600.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,13,Saturday
2019-07-20 13:56:00,Sat,17800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,13,Saturday
2019-07-21 11:07:00,Sun,18600.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,11,Sunday
2019-07-21 11:42:00,Sun,17300.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,11,Sunday
2019-07-21 12:12:00,Sun,17800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,12,Sunday
2019-07-21 12:25:00,Sun,14800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,12,Sunday
2019-07-21 12:29:00,Sun,16100.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,12,Sunday
2019-07-21 13:37:00,Sun,19300.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,13,Sunday
2019-07-21 13:45:00,Sun,22300.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,13,Sunday
2019-07-21 14:05:00,Sun,18300.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,14,Sunday
2019-07-21 14:53:00,Sun,15300.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,14,Sunday
2019-07-21 15:21:00,Sun,15100.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,15,Sunday
2019-07-22 11:38:00,Mon,15600.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,11,Monday
2019-07-22 12:16:00,Mon,19300.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,12,Monday
2019-07-22 12:24:00,Mon,18300.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,12,Monday
2019-07-22 12:41:00,Mon,18300.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,12,Monday
2019-07-22 13:28:00,Mon,16600.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,13,Monday
2019-07-22 13:44:00,Mon,14800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,13,Monday
2019-07-22 14:47:00,Mon,26000.0,,angbutter,5.0,angbutter,angbutter,4800,24000.0,14,Monday
2019-07-22 15:37:00,Mon,19600.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,15,Monday
2019-07-22 16:54:00,Mon,18600.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,16,Monday
2019-07-24 11:29:00,Wed,16400.0,,angbutter,3.0,angbutter,angbutter,4800,14400.0,11,Wednesday
2019-07-24 11:56:00,Wed,27100.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,11,Wednesday
2019-07-24 13:24:00,Wed,18800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,13,Wednesday
2019-07-24 14:25:00,Wed,25400.0,,angbutter,3.0,angbutter,angbutter,4800,14400.0,14,Wednesday
2019-07-24 14:28:00,Wed,26300.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,14,Wednesday
2019-07-24 15:36:00,Wed,16100.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,15,Wednesday
2019-07-24 15:40:00,Wed,16100.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,15,Wednesday
2019-07-24 16:02:00,Wed,16400.0,,angbutter,3.0,angbutter,angbutter,4800,14400.0,16,Wednesday
2019-07-25 11:49:00,Thur,18600.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,11,Thursday
2019-07-25 11:57:00,Thur,26800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,11,Thursday
2019-07-25 12:35:00,Thur,38000.0,,angbutter,5.0,angbutter,angbutter,4800,24000.0,12,Thursday
2019-07-25 13:01:00,Thur,23100.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,13,Thursday
2019-07-25 13:40:00,Thur,19600.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,13,Thursday
2019-07-25 13:42:00,Thur,15300.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,13,Thursday
2019-07-25 14:12:00,Thur,16100.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,14,Thursday
2019-07-25 15:09:00,Thur,14300.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,15,Thursday
2019-07-25 15:57:00,Thur,15100.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,15,Thursday
2019-07-26 11:26:00,Fri,25300.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,11,Friday
2019-07-26 11:23:00,Fri,73200.0,,angbutter,4.0,angbutter,angbutter,4800,19200.0,11,Friday
2019-07-26 11:31:00,Fri,22800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,11,Friday
2019-07-26 11:36:00,Fri,1293000.0,,angbutter,6.0,angbutter,angbutter,4800,28800.0,11,Friday
2019-07-26 11:55:00,Fri,20800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,11,Friday
2019-07-26 13:19:00,Fri,25900.0,,angbutter,3.0,angbutter,angbutter,4800,14400.0,13,Friday
2019-07-26 13:24:00,Fri,28100.0,,angbutter,2.0,angbutter,angbutter,4800,9600.0,13,Friday
2019-07-26 14:05:00,Fri,15800.0,,angbutter,1.0,angbutter,angbutter,4800,4800.0,14,Friday
2019-07-26 14:24:00,Fri,35000.0,,angbutter,5.0,angbutter,angbutter,4800,24000.0,14,Friday
